location text user_id weibo_created_at 
[39.67844, 116.109924] 也许生活就像一本掉了页的黄历，没有人会把它粘好并一页一页的回忆。 Fri Oct 11 22:08:28 2013 
[39.678471, 116.152649] 今夜到明天白天有点想你，预计下午将持续想你，受延长低情绪影响，傍晚将转为大到暴想，心情由此将降低五度，预计此类天气将持续到见到你为止。 米修 搜麻奇〜〜 幸好还有酸龟龟陪我 Fri Oct 11 23:31:07 2013 
[39.676922, 116.29393] 像跟个定时炸弹聊天 Fri Oct 11 23:54:47 2013 
[39.688078, 116.31154] 【垂直电商低成本运营的三路九招】中国垂直电商逐步开始从规模导向转为利润导向。电商都在节衣缩食，首当其冲就是对营销费用也精打细算。第一路：流量导入第二路：用户互动第三路：资源整合…下图为您呈现三路九招式低成本运行。 Fri Oct 11 23:24:48 2013 
[39.672878, 116.349967] 我用,成功秒杀10月08日北京西-广州东的硬座。 Fri Oct 11 16:46:37 2013 
[39.680976, 116.379974] 我们都有看不开的时候，总有冷落自己的举动，但是我我一定会提醒自己，如果还有明天，我们都有伤心的时候，总不在乎这种感受，但是我会提醒自己珍惜每次感动…… 如果还有明天…… 如果没有明天……《如果还有明天》 Fri Oct 11 10:24:08 2013 
[39.679829, 116.411575] 翻了翻以前的照片，想了想以前的事儿。笑过哭过，吵过闹过，爱过恨过。其实，挺美好的，曾经，有………。就这样，让它美好下去吧。 Fri Oct 11 23:02:33 2013 
[39.690158, 116.434608] 【】免费iphone5c来啦，易迅无线惊喜无限，iphone5c免费送，红米购买权免费抽，总有一款适合你！小伙们速度来试下运气！今天，你的人品爆发了没！ Fri Oct 11 13:25:37 2013 
[39.674751, 116.520447] 王诗龄和kimi。。。有没有口水流干了死翘的啊我快了 Fri Oct 11 23:38:48 2013 
[39.676391, 116.527824] 不行了≪爸爸去哪儿≫这节目看不下去了。。。超想生孩子。我先歪沙发里假装睡着了听一耳朵吧好喜欢王诗龄和kimi Fri Oct 11 22:30:16 2013 
[39.68469, 116.59311] 十天培训结束第一天进组上班感觉好压抑，以后下班早不了，感觉干不长呀 Fri Oct 11 19:03:36 2013 
[39.681248, 116.697321] 我正在搜狗手机输入法的“超级键手”比赛中抽奖，大奖拿到手软，快来试试手气！ Fri Oct 11 20:49:08 2013 
[39.686523, 116.71228] 刘德华北京开唱啦。月底，30 31 1 2开演！ Fri Oct 11 12:41:54 2013 
[39.678871, 116.739037] 母爱的伟大，总是默默的付出，不徒回报。今天看到我家爱爱母子突然有感而发 Fri Oct 11 10:32:16 2013 
[39.680645, 116.762489] 有你在等我！再累都不会觉得疲惫！只要在路上，即使晚点，总会到达！ Fri Oct 11 21:08:54 2013 
[39.694874, 116.107904] '【粥对疾病的预防作用】胡萝卜粥可以预防高血压；薏米粥可以预防癌症；羊肉粥、生姜粥可以预防慢性气管炎；荷叶粥、绿豆粥可以预防中暑；燕麦粥能够降血脂、血压和甘油三脂。对于吃惯大鱼大肉的人，适当喝一些野菜粥，可以增加维生素，滋阴补肾，调节生理机能。 Fri Oct 11 12:57:01 2013 
[39.697415, 116.403788] 这个世界那么小，我们就这样遇见，这世界那么大，我们分开就不会相见 Fri Oct 11 21:58:28 2013 
[39.695491, 116.409996] 有些事明知道做了也没用,不过还是做了,就像当初做试验多贴好多应变片一样吧,不做睡不着啊,突然感觉自己真是一点没变 Fri Oct 11 22:40:42 2013 
[39.693319, 116.653808] 每天都有豆角，不是炖就是炒丝，今天好不容易不吃豆角了结果不炒菜了就吃包子和稀饭，我说炒个土豆丝吧还让我少炒，可知道一家四口人才吃一个菜还让少炒。 Fri Oct 11 18:34:54 2013 
[39.690342, 116.696827] 你见或者不见，MIUI就在那里，不断优化。你爱或者不爱，MIUI就在那里，不断改进。你刷或不刷，MIUI就在那里，每周更新。来MIUI，一起刷机，默然相爱，寂静欢喜。我刚升级到最新版MIUI-3.10.11。 Fri Oct 11 18:33:27 2013 
[39.706802, 116.314209] 为什么老是曲解我？为什么老是怀疑我，为什么不能像其它人那样高高兴兴的，为什么就不能耐心点？为什么老是去伤害我。 Fri Oct 11 18:45:14 2013 
[39.6964863, 116.322202] 你只需记住，没有哪次行动会带来100%的失败。所以，朝着正确的方向，立刻开始行动吧！刚开始你会遇到巨大的阻力，继续走下去，旅途就会变得越来越轻松。什么都有可能的。 Fri Oct 11 20:56:41 2013 
[39.701237, 116.379219] 2013之10.11:北京第三天。逛了王府井大街，带着85岁的奶奶逛着最时髦的商场，一天下来，看遍周围，最老的莫过于她了。带上时髦的眼镜和帽子，满脸慈祥的笑容渗透着幸福，感谢上帝的恩典，生于1928年的她，今天的一切谁曾想到，没有不可能，只要敢于梦想！阿门！ Fri Oct 11 22:53:08 2013 
[39.716314, 116.115709] 擦脸油和洗面奶，护发素和洗发水的外包装差距有多大，你就有多脑残 Fri Oct 11 23:24:21 2013 
[39.718655, 116.123207] 昨天去产检了。。宝宝很健康呢。照b超的时候还调皮的眨眼睛、吧唧嘴、动来动去、之前一直对于这个突如其来的小东西只有不安、和没完没了的孕吐、各种难受、昨天才觉得还是值得的…还有就是觉得自己好伟大…哈哈～ Fri Oct 11 10:07:50 2013 
[39.711433, 116.138221] 10Md317下午点心：香蕉小米糕（10M+，小宝只用蛋黄）=1个鸡蛋+小米+香蕉 Tips： 1、小米请提前浸泡一晚 2、香蕉打成泥再和小米混合充分搅打成稠糊 3、蛋清放无水容器里打发蛋白成直立状 4、材料可以根据自己现有食材替换搭配 Fri Oct 11 15:29:53 2013 
[39.717577, 116.156807] 嗓子略略有些痛、下午上了健美课，肌肉男的却高端大气上档次，不过他们的声音让我有些hold不住、。萝卜白菜各有所爱、我依然相信爱情、快乐单身、聪明恋爱~ Fri Oct 11 23:25:29 2013 
[39.711338, 116.280891] 全世界最让我感动的三句话：我给你带好吃的。我请你吃好吃的。我带你去吃好吃的！ Fri Oct 11 23:53:11 2013 
[39.709679, 116.313843] 如果你真的很爱很爱她那就尝试去包容，不是那样说么，把自己的女人宠的无法无天这样就不会有别的男人跟你抢了，婚姻本来就是一件很难的事，如果一点小事都忍不了，那怎么给人家未来？？？少年加油。 Fri Oct 11 20:49:18 2013 
[39.714202, 116.348762] 我是八零后，现在尽然被小6岁小正太追~惶恐惶恐 Fri Oct 11 23:22:35 2013 
[39.715209, 116.37578] 服了，大晚上待着不走，是你家么？跟你有什么关系么？我老爸走了，你就可以抽他的烟了么？谁呀你， Fri Oct 11 20:46:15 2013 
[39.718281, 116.41835] 看淡，就是好心境；想开，就有好心情。凡事都是多棱镜，不同的角度，看到不同的结果。一个苹果，有人喜欢赏玩其色泽，有人想品尝其美味。你在乎的，对你来说，就是好的。时过境迁，曾经苦苦盼望的，在今天也许一文不值。繁华三千，看淡即是云烟；烦恼无数，想开就是晴天。 Fri Oct 11 21:41:46 2013 
[39.727173, 116.091152] 快去看看吧jiale98.com又便宜又好看质量还好，新朋友注册还送代金券快去看看吧。（家乐商城） Fri Oct 11 19:36:21 2013 
[39.725051, 116.146842] 设计，有着人情的关怀，精神的触摸;看的见身边朴实与谦卑，望的见远处的闪亮与尊贵;当奔走在城市的最前端，有谁会把生命奉献给灵魂？再看街拍鼻祖比尔·宁安（Bill Cunningham)的记录片 Fri Oct 11 23:51:53 2013 
[39.729572, 116.14265] 圆满完成任务 睡了晚安 Fri Oct 11 23:59:17 2013 
[39.729572, 116.14265] 明天就让某些人看看什么是真正的体育特长生，最看不起那些装逼的人了！！！ Fri Oct 11 21:02:13 2013 
